pi,ro,collab,institute,scope,collabing_pi
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Jean  Gotman,McGill University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Taylor  Hanayik,Virdx,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Johanna  Jarcho,Temple University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Philippa  Johnson,Cornell University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Jian  Kang,University of Michigan,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Mark  Lowe,Cleveland Clinic,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Daniele  Marinazzo,University of Ghent,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Helen  Mayberg,Icahn School of Medicine at Mount Sinai,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Ernesta  Meintjes, PhD",University of Cape Town,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Thomas E Nichols, PhD","University of Oxford, Nuffield Dept. of Population Health",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Anqi  Qiu,Hong Kong Polytechnic University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Chris  Rorden,University of South Carolina,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Ziad  Saad,"Johnson & Johnson, Biomarker Signatures and Global Imaging",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Kristina  Simonyan, MD, PhD","Massachusetts General Hospital, Neurology",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,John  Spencer,University of East Anglia,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Salvatore  Torrisi,"University of California, San Francisco",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Jillian  Wiggins, PhD","San Diego State University, Psychology",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Peter Joel Basser, AB, SM, PhD",NICHD,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Alan Paul Koretsky, PhD",NINDS,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Reza  Momenan, PhD",NIAAA,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Carlo  Pierpaoli, MD, PhD",NIBIB,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Kadharbatcha Syed Saleem, PhD",NICHD,NIH,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Eric M Wassermann, MA, MD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,Lysianne Cynthia Diane Beynel,Unit on Non-invasive Neuromodulation,NIMH,"Carlos Alberto Zarate, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Jennifer Wai Evans, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH,"Silvia  Lopez-Guzman, MD, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH,"Elisha Prem Merriam, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,John Brendan Welsh Ritchie,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH,"Paul Andrew Parcon, MD, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"N  Blockley, Ph.D.",University of Nottingham,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Y  Chai, PhD",University of Illinois Urbana-Champaign,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,F. Sayako  Earl,University of Delaware,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"T  Ernst, PhD",University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"D  Feinberg, PhD","University of California, Berkeley",EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,Adrian  Gilmore,University of Delaware,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"S  Moeller, PhD",University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"J  Nielsen, PhD",University of Michigan–Ann Arbor,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"J  Polimeni, PhD",Massachusetts General Hospital,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"B  Poser, PhD",Maastricht University,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"S  Reidy, PhD",Walter Reed Army Institute of Research,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,Samantha  Riedy,Walter Reed Army Institute of Research,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"B  Rutt, PhD",Stanford University,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,K  Setsompop,"Stanford University, PhD",EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"R  Stirnberg, PhD",German Center for Neurodegenerative Diseases,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"E  Yacoub, PhD",University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"M  Zaitsev, PhD",University of Freiburg,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Peter Joel Basser, AB, SM, PhD",NICHD,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Bibiana  Bielekova, MD",NIAID,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Leonardo G Cohen, MD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Jeff H Duyn, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Silvina  Horovitz, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Alan Paul Koretsky, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Reza  Momenan, PhD",NIAAA,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Avindra  Nath, MD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Carlo  Pierpaoli, MD, PhD",NIBIB,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Daniel S Reich, MD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Joelle  Sarlls, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Philip   Shaw, MD, PhD",NHGRI,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Sardha Lalith Talagala, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"William Harold Theodore, MD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Dardo G Tomasi, PhD",NIAAA,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Nora D Volkow, MD",NIDA,NIH,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Gang  Chen, PhD",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH,"Silvia  Lopez-Guzman, MD, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH,"Elisha Prem Merriam, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Andrew Steven Persichetti,Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,David  Abbott,Flory Institute,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Jason  Avery,Oklahoma State University Medical Center,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Richard  Betzel,University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"C  Caballero Gaudes, PhD","Basque Center on Cognition, Brain and Language",EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Nadine  Dijkstra,University College London,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Jozien  Goense,University of Illinois Urbana-Champaign,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Sarah  Goodale,Vanderbilt University,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Emily  Jacobs, PhD","University of California Santa Barbara, Psychological and Brain Sciences",EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Julia  Kam, PhD","University of Calgary, Psychology",EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Kathryn  Lamar-Bruno, Ph.D.","University of California, San Diego",EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Thomas  Liu,University of California San Diego Medical Center,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Tina  Liu,Georgetown University,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Lars  Muckli,University of Glasgow,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Harri  Piitulainen,University of Jyvaskyla,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Jon  Polimeni,Stanford University School of Medicine,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"B  Poser, PhD",Maastricht University,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Laura  Pritschet,University of Pennsylvania,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Neha  Reddy,Northwestern University,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Samantha  Riedy,Walter Reed Army Institute of Research,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Max  Riesenhuber,Georgetown University,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Taylor  Salo,University of Pennsylvania,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Olaf  Sporns,Indiana University Bloomington,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,R.  Stirnberg,German Center for Neurodegenerative Diseases,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Eneko  Urunuela, PhD","Basque Center on Cognition, Brain and Language",EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,Luca  Vizioli,University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Miroslav  Backonja, MD",NCCIH,NIH,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Jeff H Duyn, PhD",NINDS,NIH,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Joshua M Levy, MD, MPH, MS",NIDCD,NIH,
"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,"Eric M Wassermann, MA, MD",NINDS,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Veerle  Bergink, Md, PhD",Mount Sinai Medical Center,EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Elizabeth  Bertone- Johnson,"University of Massachusets, Amhurst",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Susan  Girdler, PhD","University of North Carolina at Chapel Hill, Department of Psychiatry",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Jennifer  Gordon, PhD",University of North Carolina at Chapel Hill,EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Marija  Kundakovic,Fordham University,EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"David R Rubinow, MD","University of North Carolina at Chapel Hill, Department of Psychiatry",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Veerle  Bergink, Md, PhD",Mount Sinai Medical Center,EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Elizabeth  Bertone- Johnson,"University of Massachusets, Amhurst",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Donghao  Lu,Karolinska Institutet,EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Jamie  Maguire,"Tufts University, School of Medicine , School of Medicine",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,Samantha  Meltzer- Brody,"University of North Carolina at Chapel Hill, Department of Psychiatry",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Leslie  Morrow, PhD","University of North Carolina System, Department of Psychiatry and Pharmacology",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"David R Rubinow, MD","University of North Carolina at Chapel Hill, Department of Psychiatry",EM,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Lynnette K Nieman, MD",NIDDK,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"David  Goldman, MD",NIAAA,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Veronica  Gomez-Lobo, MD",NICHD,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Ronna P Hertzano, MD",NIDCD,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Jack A Yanovski, MD, PhD",NICHD,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"David  Goldman, MD",NIAAA,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Lynnette K Nieman, MD",NIDDK,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"David  Goldman, MD",NIAAA,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Veronica  Gomez-Lobo, MD",NICHD,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Lynnette K Nieman, MD",NIDDK,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Baris  Turkbey, MD",NCI,NIH,
"Peter J Schmidt, MD",Section on Behavioral Endocrinology,"Jack A Yanovski, MD, PhD",NICHD,NIH,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Jacob  Hooker, PhD",Harvard University,EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Garth  Terry, MD, PhD","Universiy of Washington, Seattle",EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,Vincent  Calhoun,Georgia State University,EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Douglas  Greve, PhD","Massachusetts General Hospital, Martinos Center",EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Gitte  Knudsen, MD, PhD","University of Copenhagen, Neurobiology Research Unit",EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,Martin  Norgaard,Stanford University,EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Russel A Poldrack, PhD","Stanford University, Dept. of Psychology",EM,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Michael  Michaelides, BS, PhD",NIDA,NIH,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Nora D Volkow, MD",NIAAA,NIH,
"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,"Peter  Herscovitch, MD",CC,NIH,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,David  Berson,Brown University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,S  Blackshaw,Johns Hopkins University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,R  Brown,Washington State University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,M  Cayouette,Montreal Clinical Research Institute,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,S  Chen,National Taiwan University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,A  Guler,University of Virginia,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,R  Johnston,Johns Hopkins University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Alex  Kolodkin, PhD","Johns Hopkins Medicine, The Solomon H. Snyder Department of Neuroscience",EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Rejji  Kuruvilla, PhD",Johns Hopkins University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,I  Provencio,University of Virginia,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,G  Prusky,Burke Medical Research Institute,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Phyllis  Robinson, PhD","University of Maryland, Baltimore County, Biological Sciences",EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,H  Zhao,Johns Hopkins University,EM,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Jeffrey S Diamond, PhD",NINDS,NIH,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Wei  Li, MD, PhD",NEI,NIH,
"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,"Jurgen  Wess, PhD",NIDDK,NIH,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,Corey Richard James Plate,Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Charles Yang Zheng, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Rany  Abend, PhD","Reichman University, Psychology",EM,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Quentin JM Huys, MD, PhD","University College London, Division of Psychiatry",EM,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,Miguel  Barretto-garcia,Washington University in St. Louis School of Medicine,EM,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Michael  Grubb, PhD","Trinity College, Psychology",EM,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Catherine  Hartley, PhD",New York University,EM,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,Amy  Janes,NIDA,NIH,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,"Kareem Amir Zaghloul, MD, PhD, BS",NINDS,NIH,
"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,Corey Macneil Ziemba,NEI,NIH,
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Charles R Gerfen, PhD",Section on Neuroanatomy,NIMH,"Charles R Gerfen, PhD"
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,NIMH,"Christopher Michael Bartley, MD"
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"George Raphael Dold, MS",Section on Instrumentation,NIMH,"George Raphael Dold, MS"
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Seong-gi  Kim, PhD","Institute for Basic Science, Center for Neuroscience Imaging Research (CNIR)",EM,
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Dominique  Pritchett, PhD","Howard University, Biology",EM,
"Soohyun  Lee, PhD",Section on Functional Neural Circuits,"Timothy James Petros, PhD",NICHD,NIH,
"Stefano  Marenco, MD",Human Brain Collection Core,"Christopher Michael Bartley, MD",Translational Immunopsychiatry Unit,NIMH,"Christopher Michael Bartley, MD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Robert  Innis, MD, PhD",Molecular Imaging Branch,NIMH,"Paul Andrew Parcon, MD, PhD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Stefano  Marenco, MD",Human Brain Collection Core,"Schahram  Akbarian, MD, PhD",Icahn School of Medicine at Mount Sinai,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Maura  Boldrini,Columbia University,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Paolo  Brambilla,universita' di milano,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,"Guoping  Feng, PhD","Massachusetts Institute of Technology, McGovern Institute for Brain Research",EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Myriam  Heiman,Massachusetts Institute of Technology,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Jeffrey  Iliff,University of Washington,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Mbemba  Jabbi,The University of Texas at Austin,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Marija  Kundakovic,Fordham University,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Evan  Macosko,Broad Institute,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Steven  Mccarrol,Harvard University,EM,
"Stefano  Marenco, MD",Human Brain Collection Core,Richard  Mccombie,Cold Spring Harbor Laboratory,EM,
